BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
BRULON;MAREIL EN CHAMPAGNE;Giuseppe IVANOV
FONTENU;REVIGNY;Barbara HOFFMANN
LANLOUP;ST AGATHON;Anastasiya THOMAS
GAILHAN;SAUVE;Yvan MILLER
ORMESSON;BOISSY LE CUTTE;Christian MEIER
BLENOD LES TOUL;EUVILLE;David COSTA
MANTHES;ST BARTHELEMY DE BEAUREPAIRE;Petra JONES
ST MESMIN;MONTRAVERS;Pavel THOMAS
ST PIERRE DU MONT;PUJO LE PLAN;Roman MARTIN
LINARDS;ST JULIEN LE PETIT;Maryia NAVARRO
ROQUESTERON;LA ROQUE EN PROVENCE;Anne SCHMIDT
PETIT LANDAU;HABSHEIM;Richard ALONSO
BLAUZAC;CHATEAURENARD;Mariya COSTA
GUILLESTRE;PUY SANIERES;Giuseppe MILLER
ETOILE ST CYRICE;MONTFERRAND LA FARE;Andrea COSTA
MONTHOLIER;NEUVILLEY;Eva GONZALEZ
JUGAZAN;ST MARTIN DE LAYE;Giuseppe THOMAS
CARNOUX EN PROVENCE;MARSEILLE;Josef IVANOVA
ST JEAN DU GARD;ST GERMAIN DE CALBERTE;Vasylyi RODRIGUEZ
AVRILLE;ANGERS;Ana KOVÁCS
MARAYE EN OTHE;JAULGES;Francisco RUSSO
VEZIERES;THIZAY;Ana HUBER
ST CHRISTOL;VERQUIERES;Richard RAMOS
ST DIZIER EN DIOIS;GRANE;Roman SCHÄFER
MARLY;MONCHEUX;Yvan WILLIAMS
GROSBOIS EN MONTAGNE;SAVIGNY POIL FOL;Oksana ALONSO
GRESSE EN VERCORS;CODOLET;Petra SZABÓ
ROQUEFERE;MONTGEY;Angela JIMENEZ
LOUARGAT;TREGONNEAU;Maksim RAMOS
SACCOURVIELLE;MARIGNAC;Nadezhda GARCIA
AUDENGE;BIGANOS;Peter KOVÁCS
FOUCHERES;LA LOGE AUX CHEVRES;Anton SILVA
LES GETS;TANINGES;Patrick ANDERSSON
RAZENGUES;MONBARDON;Francisco MAGOMEDOV
ORIGNY EN THIERACHE;MAZINGHIEN;Andrei GARCIA
LA BOUILLE;ST ETIENNE L ALLIER;Patrick VASILEVA
SALERNES;VILLECROZE;Eva PETROVA
GENEBRIERES;SONAC;Natalya IVANOVA
CARENNAC;BOUILLAC;Nadezhda WILSON
COURS;MAULEON;Francesco SCHMID
DINARD;ST LUNAIRE;Maryia BAUER
ESTAING;ANDOINS;Aleksandr MOROZOVA
GLENOUZE;MARCAY;Dmitriy MOROZOVA
LE PERCY;CEYRESTE;Igor SCHÄFER
VILLE DU PONT;LA BOSSE;Vera TAYLOR
VEUXHAULLES SUR AUBE;DAMPVITOUX;Olha HOFFMANN
LA REORTHE;ST MARTIN LARS EN STE HERMINE;Jan RUSSO
MEYRONNE;VITRAC;Jean TAYLOR
BLARGIES;FOUILLOY;Peter BECKER
LES RIVES;COMBRET;Wolfgang VOLKOVA
BARBERAZ;LA RAVOIRE;Maksim BAUER
BATTEXEY;JEVONCOURT;Marie GARCIA
ANAN;GAVARRET SUR AULOUSTE;Giuseppe NOVIKOVA
ST REMY DU VAL;ST CENERI LE GEREI;Olga IVANOV
MONTIGNY LES CONDE;VILLE DOMMANGE;Darya GOMEZ
CAZOULS D HERAULT;PEZENAS;Jan KOCH
MARCHEVILLE;CHAUFFOURS;David JOHANSSON
SAZILLY;CRAVANT LES COTEAUX;Claude SHEVCHENKO
HOURTIN;CARCANS;Juan SCHNEIDER
ST REMY LA CALONNE;RONVAUX;Sergey KLEIN
GLANDAGE;ST PANTALEON LES VIGNES;Tatyana HOFFMANN
CORCIEUX;ROCHESSON;Elena DIAZ
JUVINAS;BESAYES;Vasylyi KUZNETSOV
STE HELENE;CURIERES;Nykolai PAVLOVA
DRUYES LES BELLES FONTAINES;ANDRYES;Josef SCHÄFER
CHANTEMERLE LES GRIGNAN;VIVIERS;Valentina DIAZ
ST BARTHELEMY LE PLAIN;ETABLES;Robert JONES
CERON;LAY;Aleksandr BONDARENKO
SAILLANT;EGLISOLLES;Robert SCHÄFER
MONTARLOT LES RIOZ;CROMARY;Valentina LOPEZ
CAMBOUNET SUR LE SOR;NAVES;Francesco MORENO
SCHOPPERTEN;KESKASTEL;Tatyana MARTIN
ST JULIEN DE L ESCAP;GIMEUX;Maksim ROSSI
PARTHENAY;CHATILLON SUR THOUET;Giovanni ZIMMERMANN
MARSEILLAN;SOREAC;Laura COSTA
LUMES;HANNONVILLE SUZEMONT;Hans MILLER
GURMENCON;BIDOS;Marina JENSEN
BARJOLS;BRUE AURIAC;Tatiana SCHÄFER
POMMIERS;AUMESSAS;Piotr JOHNSON
LES CAMMAZES;LES BRUNELS;Andrea MOROZOVA
SOYE EN SEPTAINE;ST JUST;Eva TÓTH
BUXIERES SOUS LES COTES;LAMORVILLE;Jose PETROVA
TENTELING;ETZLING;Monika POPOVA
LA FRASNEE;PUBLY;Valentyna MARTINEZ
GORCY;SEMOUTIERS MONTSAON;Ekaterina POPOV
ST MARTIN DU MONT;FRONTENAUD;Francesco FERREIRA
HAUDAINVILLE;MONTIGNY LES VAUCOULEURS;John RAMOS
ST JULIEN EN QUINT;MONTFROC;Mariya GONZALEZ
MONTSECRET CLAIREFOUGERE;LANDISACQ;Aleksey NIELSEN
AUTERIVE;ORBESSAN;Jean BRAUN
HURBACHE;SOYE;Marie PETROV
ECURAT;CURZON;Sergey RUSSO
GUYONVELLE;VOISEY;Vladymyr KLEIN
ST UNIAC;CHASNE SUR ILLET;Mikhail MARIN
MONNET LA VILLE;SONGESON;Yuliya EVANS
MONTREAL;VEYRAS;Petra SANCHEZ
ST CESAIRE;BEAUGEAY;Claude RICHTER
LA MACHINE;CHIDDES;Anna BROWN
BALLEROY SUR DROME;COUVAINS;Elisabeth THOMAS
LE MAY SUR EVRE;TIFFAUGES;Angela POPOVA
ESPECHE;ARNAUD GUILHEM;Aleksandr BONDARENKO
CREHEN;ST BRICE;Claude DAVIES
SAUJON;ST SULPICE DE ROYAN;Paul LOPEZ
FATOUVILLE GRESTAIN;MESNIL ROUSSET;Michel KUZNETSOVA
MONCEAUX EN BESSIN;ST VIGOR LE GRAND;Michel BAUER
FREJAIROLLES;COMBEFA;Andrey GOMEZ
MONHEURT;BOURRAN;Svetlana BAUER
LAFFREY;VIZILLE;Monika MARTINEZ
JOUSSE;PAYROUX;Svetlana RUIZ
ALOS;BALAGUIER D OLT;Robert POPOV
GREPIAC;LACAUGNE;Mária JENSEN
MERCUROL VEAUNES;ST BARDOUX;Marie KLEIN
BIARROTTE;BIAUDOS;Maksim MORENO
ST GERMAIN SUR RENON;ST REMY;Yuliya SCHMID
CHATEAU LARCHER;FONTAINE CHALENDRAY;Hans WILLIAMS
MANDRES EN BARROIS;PARGNY SOUS MUREAU;Giuseppe JIMENEZ
VIEY;SALIGOS;Oksana JOHNSON
NOYALES;ETEIGNIERES;Elisabeth HOFFMANN
FLERS SUR NOYE;MAISONCELLE TUILERIE;Yvan GUTIERREZ
LES BAROCHES;LANTEFONTAINE;Lyubov TÓTH
CHENOVE;FOURNET BLANCHEROCHE;Maria WOLF
NEUFBOSC;LONGMESNIL;Josef MEYER
MERIGNAC;FONTAINE CHALENDRAY;Aleksandra KUZNETSOV
MONTEGUT BOURJAC;FUSTIGNAC;Mario ZIMMERMANN
REMPNAT;TOY VIAM;Francisco GARCIA
BERTRANGE;MONDELANGE;Karin GONZALEZ
FUMAY;ANCHAMPS;Christian MORENO
TOUVERAC;CHAMPAGNE VIGNY;Tatiana VOLKOVA
ST JULIEN EN VERCORS;ST ROMANS;Anna PETROV
BEAUVOIR;ST JEAN DU CORAIL DES BOIS;Marina MARIN
MONTREAL;VILLENEUVE DE BERG;Vasylyi KRAVCHENKO
BETCAVE AGUIN;ST ANTONIN;Angela MUÑOZ
LE LUOT;FLEURY;Maryia KOVÁCS
PORT;VASSIEUX EN VERCORS;Michael PEREZ
AUSSAC;ST BEAUZILE;Anna MÜLLER
BRIEC;ROUDOUALLEC;Eva SILVA
FRONTONAS;BRINDAS;Richard BROWN
MASTAING;SEBOURG;Rosa NIELSEN
MONTCUIT;CAMPROND;Maria SOKOLOVA
FONTAINE LES VERVINS;VERVINS;Evgeniy VARGA
PLASSAC;BELLUIRE;Wolfgang JONES
PLAIMBOIS DU MIROIR;LA BOSSE;Aleksandr MEYER
CHABRAC;CHIRAC;Irina SCHNEIDER
GRANES;MONTAZELS;Barbara SCHÄFER
ST SEVERIN;ST BARTHELEMY DE BELLEGARDE;Mikhail NIELSEN
MAZEROLLES DU RAZES;FENOUILLET DU RAZES;Roman SMIRNOVA
NEUVICQ;CASTILLON LA BATAILLE;Hans MUÑOZ
BOIS LE ROI;VITRAI SOUS LAIGLE;Denis NAVARRO
FROIDOS;ST ANDRE EN BARROIS;Maria NOWAK
BIZE;MONLEON MAGNOAC;Anton ALONSO
MURLES;PUECHABON;Nykolai VARGA
GOUMOIS;URTIERE;Hans MUÑOZ
CELLIEU;ST MARTIN LA PLAINE;Marina MARIN
LE PIN;VAUX SUR POLIGNY;Werner NOWAK
CHAMPAGNE LES MARAIS;CHAILLE LES MARAIS;Tatiana SMIRNOVA
HUPARLAC;LA TRINITAT;Maryia THOMAS
FONS;DIONS;Wolfgang JONES
PLACHY BUYON;AILLY SUR SOMME;Tatyana NAVARRO
ST ANDRE DE DOUBLE;GOUT ROSSIGNOL;Mária SANCHEZ
BELLEBAT;DARDENAC;Karin JOHNSON
ST CHAMARAND;COEUR DE CAUSSE;Francisco ANDERSSON
DHUYS ET MORIN EN BRIE;AMILLIS;Richard FERREIRA
SOUCE;JUVIGNY VAL D ANDAINE;Elisabeth TORRES
ST ETIENNE DES GUERETS;CANGEY;Anastasiya JONES
FONTANNES;ST PREJET ARMANDON;Rosa GONZALEZ
SERRES;LA BATIE MONTSALEON;Vladimir KRAVCHENKO
ST LAMBERT ET MONT DE JEUX;ALLAND HUY ET SAUSSEUIL;Werner SCHNEIDER
ST MAIME;PERTUIS;Aleksandra NAVARRO
ST PARDOUX L ORTIGIER;FAVARS;Valentina WILSON
LIGNIERES ORGERES;GIEL COURTEILLES;Vera WAGNER
VOLNAY;BAUBIGNY;Vladymyr ALONSO
BORDERES ET LAMENSANS;CLASSUN;Lyubov POPOV
BRETHEL;LESSARD ET LE CHENE;Andrei FERRARI
GY EN SOLOGNE;ST CHRISTOPHE EN BOUCHERIE;Marie DAVIES
HOUPLINES;FLEURBAIX;Rosa DIAZ
ETOILE SUR RHONE;ENGINS;Serhei SIMON
LONGEMAISON;PASSONFONTAINE;Tatyana HOFFMANN
CARAYAC;ROUMEGOUX;Christian JOHANSSON
PONTAILLER SUR SAONE;MONTMANCON;Vladymyr JOHANSSON
BERVILLE SUR MER;ST SULPICE DE GRIMBOUVILLE;Andreas KOCH
DARCEY;ALISE STE REINE;Marina SCHMID
AMANVILLERS;MAIZIERES LES METZ;Tomasz GONZALEZ
LA COMELLE;ESSERTENNE;Darya MARIN
REHON;LEXY;Petra ROSSI
ST DENIS SUR SARTHON;ST MARCEAU;Dmitriy MUÑOZ
SCIEURAC ET FLOURES;ST MARTIN;Alina MUÑOZ
LA HAYE;MEZIERES EN VEXIN;Christine NOVIKOVA
BONDAROY;CHATILLON LE ROI;Giovanni ROBERTS
ORDIARP;GARINDEIN;Andrei WILSON
POIROUX;LE GIROUARD;Werner KLEIN
HALLINES;ESQUERDES;Christian RAMOS
LA PRETIERE;BLUSSANS;Sandra GOMEZ
HOSTUN;JAILLANS;Vladimir LOPEZ
ST CLAIR DE HALOUZE;ST ANDRE DE BRIOUZE;Maksim MEIER
VALINES;FEUQUIERES EN VIMEU;Patrick JIMENEZ
OULCHY LA VILLE;FERE EN TARDENOIS;Brigitte NIELSEN
MALVEZIE;MILHAS;Sandra HANSEN
ALLEMANT;GELANNES;Maryia RICHTER
SALAUNES;ST MEDARD EN JALLES;Anna SANTOS
NONVILLE;COMPIGNY;Marie NOVIKOVA
ORCHES;THURE;Valentyna BECKER
ST PRIVAT;JOSAT;Aleksey MARTIN
COULONGES;CHADENAC;Sandra JENSEN
LES GETS;MESNOIS;Christian SILVA
MOUTHIERS SUR BOEME;BALZAC;Yuliya WILSON
ST ANDIOL;CAVAILLON;Vera NOVIKOVA
HERLIES;ESPINS;Svetlana SZABÓ
PEGUILHAN;BOISSEDE;Oksana WOLF
CALIGNAC;EYSINES;Josef ROMERO
LAHAS;ST BLANCARD;Maksim POPOVA
MONTIGNE LES RAIRIES;TASSILLE;Nadezhda ROBERTS
VILLENEUVE LA COMTESSE;LE VERT;Nykolai PAVLOVA
LAVALETTE;PREIXAN;Maryia MARIN
COLOMBIERES SUR ORB;CAMPLONG;Juan HANSEN
PIANELLO;ALANDO;Martin JIMENEZ
ECHIRE;STE OUENNE;Peter DAVIES
PERTHES;GRANDPUITS BAILLY CARROIS;David PEREIRA
ST NICOLAS LA CHAPELLE;CONTREVOZ;Brigitte GOMEZ
CORPOYER LA CHAPELLE;VERTAULT;Elisabeth WILLIAMS
MEYREUIL;LE THOLONET;Monika SCHMIDT
NESLES LA MONTAGNE;BLESMES;Hans POPOVA
LORIENT;REDENE;Laura RUSSO
AUREIL;RILHAC RANCON;Tatiana SMIRNOVA
ST DENIS D AUGERONS;LORMAYE;Yuliya GONZALEZ
ST VARENT;LA MOTHE ST HERAY;Giuseppe DAVIES
ST MARTINIEN;ST JULIEN LE PETIT;Darya KUZNETSOV
CAMBOULAZET;NAUCELLE;Oksana KOCH
MARSEILLAN;MONTAGNAC;Michael PEREIRA
ST ANTOINE LA FORET;ST MACLOU;Olha WAGNER
CAZOULS LES BEZIERS;CONILHAC CORBIERES;Olga ANDERSSON
COURCELLES LES MONTBARD;FONTAINES LES SECHES;Antonio MEYER
TROARN;JANVILLE;Vasylyi IVANOVA
COLONZELLE;MONTBRUN LES BAINS;Klaus RODRIGUEZ
BEAUCAIRE;MAS BLANC DES ALPILLES;Olha TAYLOR
CAVANAC;BRASSAC;Rosa PAVLOVA
FROLOIS;FONTAINES EN DUESMOIS;Vera GOMEZ
ST UNIAC;LA NOUAYE;Manfred HERNANDEZ
CONFRACOURT;COMBEAUFONTAINE;Karin WOLF
VALLEROIS LE BOIS;ILLKIRCH GRAFFENSTADEN;Mária BAUER
CORDEMAIS;MALVILLE;Sandra WAGNER
SABRES;YGOS ST SATURNIN;Ivan SCHÄFER
ST LEGER LES VIGNES;ST PHILBERT DE BOUAINE;Klaus BONDARENKO
MONTCLAR;LEUC;Martin SILVA
LARRAZET;OURSBELILLE;Vera HERNANDEZ
CHARSONVILLE;AUTAINVILLE;Francisco KLEIN
ORIVAL;CLEON;Evgeniy HUBER
VRY;LESSY;Anna POPOVA
MARTRES DE RIVIERE;LABARTHE INARD;Jose MARTINEZ
SOUSVILLE;TREFFORT;Hans MEIER
ST SIXT;BONLIEU;Francisco SCHÄFER
CERELLES;VILLERBON;Andrey GONZALEZ
EINCHEVILLE;MORVILLE LES VIC;Christian DAVIES
DOMANCY;SCIONZIER;Anna MARTINEZ
MIGNE;DESCARTES;Denis SMIRNOVA
AILLON LE VIEUX;ST OFFENGE;Tatiana MARTIN
VALMY;BONNET;Andrey DAVIES
EUS;CAMPOUSSY;Karin EVANS
PREVINQUIERES;ST VINCENT D AUTEJAC;Jose RUSSO
GUEWENHEIM;MASEVAUX NIEDERBRUCK;Christian LOPEZ
CARPENTRAS;GORDES;Martin RICHTER
BERTINCOURT;RUYAULCOURT;Francisco MILLER
ST HILAIRE DU HARCOUET;PARNE SUR ROC;Barbara TORRES
CLAIREFONTAINE EN YVELINES;AUNEAU BLEURY ST SYMPHORIEN;Marie SCHNEIDER
SECONDIGNY;ST VIVIEN DE BLAYE;Alexander KUZNETSOVA
ST PAUL LES ROMANS;MONTAGNE;Alina SCHNEIDER
ST MAUR;EPINEUIL LE FLEURIEL;Hans SMITH
SEVIGNACQ;HERES;Mario ROBERTS
STE CROIX;ORLIAC;Angela MARIN
NOGENT L ARTAUD;AMBONNAY;Karin EVANS
BOURGON;MONTENAY;Pavel BECKER
DOMLOUP;CHANTEPIE;Valentina LOPEZ
QUINCAY;NUEIL SOUS FAYE;Patrick FERRARI
VERGEZAC;BAINS;Mariya MARTINEZ
GARRIGUES STE EULALIE;BRISSAC;Mikhail WAGNER
CONJUX;LA BALME DE THUY;Ana VARGA
SORT EN CHALOSSE;MOUSCARDES;Yuliya WILSON
BEAULIEU SUR OUDON;ST SULPICE LA FORET;Petra SANCHEZ
TRESNAY;COULEUVRE;Vasylyi WILLIAMS
LONGEVES;THIRE;Mario SCHMIDT
MAS DES COURS;ROULLENS;Elisabeth ROSSI
MONTEREAU FAULT YONNE;ROUILLY;Francisco SCHÄFER
OZE;LA TOUR;Christine RICHTER
CAMBIAC;LES CASSES;Anton BAUER
TALUYERS;ST LAURENT D AGNY;Anton MUÑOZ
ST MARD;PUYROLLAND;Giovanni BECKER
LA CHAPELLE SUR AVEYRON;ST PONT;Karin FERREIRA
CHANGE;LAVAL;Yuliya PETROV
STE GEMME;ST JUST SUR VIAUR;Christine PEREZ
ST DIDIER SUR BEAUJEU;THOISSIA;Nykolai HOFFMANN
OLEMPS;MALBO;Christian VARGA
LES PILLES;CORNILLON SUR L OULE;Anna MORENO
EDON;ST SAUD LACOUSSIERE;Monika WAGNER
LE MESNIL ST DENIS;NEAUPHLE LE CHATEAU;Elisabeth MEYER
CAHUS;MONCEAUX SUR DORDOGNE;Andrei PAVLOVA
SAOSNES;ST CHRISTOPHE EN CHAMPAGNE;Karin MILLER
ST PHILIBERT;ARNAY LE DUC;Serhei WEBER
ST MARTIN RIVIERE;VAUX ANDIGNY;Vera IVANOV
LA CHAPELLE SUR CHEZY;NEUVY;Dmitriy MARTIN
CAZILHAC;LIOUC;Tatyana SCHMIDT
COURCHEVEL;LA CHAPELLE;Denis MAGOMEDOV
ST PAUL ET VALMALLE;MONTFERRIER SUR LEZ;Brigitte SMITH
GRANDFRESNOY;LE FAYEL;Alina VASILEVA
ST AUBIN LA PLAINE;LUCON;Anne RUIZ
STE ANASTASIE;THEZIERS;Jan SZABÓ
MONTENAY;CHAILLAND;Aleksandr HANSEN
GRANGES NARBOZ;STE COLOMBE;Andrea SILVA
SARTILLY BAIE BOCAGE;LA FRESNAIS;Maria NOWAK
DEMI QUARTIER;LA GIETTAZ;Mario PAVLOVA
ST MARS DE COUTAIS;ST LEGER LES VIGNES;Roman FERNANDEZ
PONT BELLANGER;ST VIGOR DES MONTS;Andrea PEREZ
VARENNES ST SAUVEUR;BEAUPONT;Vladimir HOFFMANN
MARBOUE;ST CHRISTOPHE;Josef NAVARRO
MAUBEC;ST PANTALEON;Ana NOWAK
L ARBRESLE;VALCIVIERES;Olha BRAUN
TAURIERS;SANILHAC;Nikolay MÜLLER
GIRY;MIGE;Tomasz ANDERSSON
BUC;FOISSY SUR VANNE;Andreas HERNANDEZ
BALARUC LES BAINS;VIOLS LE FORT;Darya KOVALENKO
TOURBES;PAILHES;Mikhail KOVALENKO
TROUANS;DAMPIERRE SUR MOIVRE;Irina VARGA
LEUILLY SOUS COUCY;MISSY AUX BOIS;David MARTIN
IGNY;AGENCOURT;Mária NAGY
CHAMPCEVRAIS;BOISMORAND;Marie JONES
BENFELD;KOGENHEIM;Martin JOHANSSON
PAVIE;ORLEIX;Francisco ANDERSSON
ST MARTIN D ARC;MONTRICHER ALBANNE;Irina SMITH
ST GEORGES BLANCANEIX;PLAISANCE;Laura POPOVA
DAMIGNY;ST GERMAIN DE CLAIREFEUILLE;Christine ALONSO
COURVILLE SUR EURE;CHAUFFOURS;Igor ROMERO
MORTAGNE SUR GIRONDE;CHENAC ST SEURIN D UZET;Ivan HANSEN
CUHON;NEUVILLE DE POITOU;Tatiana SCHMIDT
SMERMESNIL;FOUCARMONT;Mario FERRARI
VILLAC;EYZERAC;Alexander KARLSSON
LA CELLE CONDE;IDS ST ROCH;Aleksandra FERREIRA
LA SELLE GUERCHAISE;ST CHARLES LA FORET;Laura GUTIERREZ
COINGS;TERSANNES;Manfred IVANOV
CONTY;HANGARD;Giovanni ALVAREZ
PRIGNAC;COURS;Lyubov GONZALEZ
COMMEQUIERS;PALLUAU;Olga IVANOV
DOMMARY BARONCOURT;HERBEUVILLE;Michel BAUER
ST GENIES DE MALGOIRES;FONS;Barbara SANCHEZ
PRENY;LAY ST REMY;Mariya KOCH
ISSAMOULENC;GOURDON;Giuseppe JOHNSON
LE VAL;CHATEAUVERT;Olga WILLIAMS
FLEURIGNE;ST GERMAIN EN COGLES;Maksim KLEIN
CLEPPE;AZERAT;Barbara NOVIKOVA
VEUREY VOROIZE;LA BAUCHE;Alina MARTIN
LE FENOUILLER;NOTRE DAME DE RIEZ;Mikhail JONES
FONTPEDROUSE;AUTHUILLE;Martin MEIER
VERCOIRAN;ROUSSIEUX;Yuliya FERREIRA
LA TRANCHE SUR MER;LES MAGNILS REIGNIERS;Marie MUÑOZ
ST NAZAIRE EN ROYANS;ST JUST DE CLAIX;Anne SANCHEZ
CUERS;PUGET VILLE;Laura GUTIERREZ
LA DOUZE;ST PIERRE DE CHIGNAC;Lyubov NIELSEN
SECHIN;FOURBANNE;Mario HOFFMANN
BOLOZON;DROM;Mariya SANCHEZ
ST BAUDILLE ET PIPET;TREMINIS;Tatyana JENSEN
VEZENOBRES;LEZAN;Robert WEBER
DOVILLE;VARENGUEBEC;Francisco SCHULZ
BARTRES;LOURDES;Nikolay EVANS
CABANNES;CAUMONT SUR DURANCE;Patrick GUTIERREZ
MOLLANS;PLANCHER LES MINES;Irina JENSEN
CHARBONNIERES LES BAINS;CALUIRE ET CUIRE;Thomas DIAZ
COULOMBS;VILLENEUVE LES BEZIERS;Christian LOPEZ
CHENELETTE;SOLOGNY;Petra GUTIERREZ
MARSILLY;LA FLOTTE;Tatyana JIMENEZ
BEARD GEOVREISSIAT;ALLONZIER LA CAILLE;Martin NOVIKOVA
SERRIERES SUR AIN;CAILLOUX SUR FONTAINES;Piotr SILVA
ST CIERS SUR BONNIEURE;TOUVRE;Angela ANDERSSON
LOIX;ST MATHURIN;Maksim COSTA
ST AUBAN D OZE;ST JEURE D ANDAURE;Martin TÓTH
ARVERT;ST JUST LUZAC;Aleksandra ALVAREZ
BREHEMONT;CHANNAY SUR LATHAN;Antonio BECKER
AGON COUTAINVILLE;REGNEVILLE SUR MER;Laura PETROV
COUQUEQUES;ST CHRISTOLY MEDOC;Anastasiya RAMOS
ST BAUZILLE DE LA SYLVE;CASES DE PENE;Anastasiya JENSEN
OSSUN;ST VINCENT;Daniel SANTOS
FAUGUERNON;ST GERMAIN D AUNAY;Evgeniy PAVLOVA
PARTHENAY;LA CHAPELLE BERTRAND;Dmitriy HUBER
CAGNONCLES;ST HILAIRE LEZ CAMBRAI;Richard COSTA
ST JEANNET;MALIJAI;Francesco MARTIN
MARIEUX;BRADIANCOURT;Pavel SANTOS
COURSEGOULES;COURMES;Tatiana MÜLLER
SPARSBACH;WEINBOURG;Mikhail VASILEVA
LA FERTE ST CYR;TAVERS;Tomasz WILSON
LA VALLA EN GIER;ST APPOLINARD;Maksim FERRARI
ROSHEIM;URMATT;Ekaterina ZIMMERMANN
BEGOLE;GAN;Laura EVANS
VAUMORT;LES CROUTES;Werner BRAUN
ST ANTONIN SUR BAYON;VENELLES;Brigitte HANSEN
LE CANNET;MOUGINS;David SOKOLOVA
LUSSAT;ST PRIEST;Mario SILVA
FONTENAILLES;VALENCE EN BRIE;Manfred GOMEZ
ST CYR SUR LE RHONE;ORLIENAS;David PAVLOVA
SAVIGNY LEVESCAULT;CIVAUX;Michel SIMON
VELLES;STE LIZAIGNE;Werner JENSEN
ST MEDARD DE MUSSIDAN;ST CIERS CHAMPAGNE;Thomas SMIRNOVA
ST JEAN DU CORAIL DES BOIS;ST BARTHELEMY;Valentina SCHULZ
LESTERPS;ST MATHIEU;Valentina HOFFMANN
BISSY SOUS UXELLES;BEAUMONT SUR GROSNE;Olga IVANOVA
ARPAILLARGUES ET AUREILLAC;ST BRES;Aleksandra VOLKOVA
PREMILHAT;MARCILLAT EN COMBRAILLE;Aleksandr SILVA
CHAMBORET;ST BRICE SUR VIENNE;Martin ANDERSSON
WOIPPY;MAIZIERES LES METZ;Mario KOVÁCS
NERS;VEZENOBRES;Francesco KOVÁCS
ST BOUIZE;VERDIGNY;Robert VOLKOVA
PEINTRE;LAVANS LES DOLE;Marina KLEIN
CONDAT;CHALUS;Aleksandr SOKOLOVA
LES PRADEAUX;ST QUENTIN SUR SAUXILLANGES;Thomas IVANOV
GOUDELIN;PLOURHAN;Natalya JIMENEZ
ST VICTOR L ABBAYE;BEUZEVILLE;Vladymyr PEREIRA
FENAY;BOUGNON;Irina SCHNEIDER
ST COUAT DU RAZES;MONTBEL;Andrea RODRIGUEZ
BRUGES;LE TAILLAN MEDOC;Vasylyi SMIRNOV
DRUCOURT;LA BONNEVILLE SUR ITON;Patrick GOMEZ
ST IGNAT;LE CHEIX;Sergey PETROVA
LES MUREAUX;VAUX SUR SEINE;Aleksey EVANS
CHEZERY FORENS;CHALLEX;Aleksandra SANTOS
LORETZ D ARGENTON;COUZIERS;Piotr MARIN
SALLES ARBUISSONNAS BEAUJOLAIS;ST VERAND;Darya SILVA
CHADELEUF;STE MARIE DE RE;Rosa GONZALEZ
STE TULLE;CORBIERES EN PROVENCE;Valentyna BAUER
MURBACH;LE HOHWALD;Maryia WEBER
TOURNAN EN BRIE;NEMOURS;Denis WOLF
CAZAUX LAYRISSE;ST PAUL D OUEIL;Andrea JENSEN
MENIL HUBERT EN EXMES;NECY;Vladimir PETROVA
ST MAURICE LES BROUSSES;ST FELIX DE BOURDEILLES;Daniel EVANS
HASPRES;VERCHAIN MAUGRE;Klaus GARCIA
OUTREMECOURT;SOULAUCOURT SUR MOUZON;Daniel WILSON
TREVEREC;LA ROCHE JAUDY;Sergey DIAZ
MONTMEYAN;BRUNET;Valentyna ROSSI
ATHIS VAL DE ROUVRE;LE MENIL CIBOULT;Antonio HERNANDEZ
AGEN;CASTELCULIER;Christine VOLKOVA
MONTCEAUX RAGNY;CHAMPAGNY SOUS UXELLES;Sandra WAGNER
NOUAILLE MAUPERTUIS;SOMMIERES DU CLAIN;Aleksandr SILVA
LE PELLERIN;BOUGUENAIS;Giuseppe MARTINEZ
MAUBEC;LARRA;Mariya HUBER
CONCEZE;JUILLAC;Elena KLEIN
LES MATHES;ST SORNIN;Martin JONES
MANNEVILLE LA RAOULT;QUETTEVILLE;Marina BECKER
SOCHAUX;MONTBELIARD;Ana SCHMID
JATXOU;HALSOU;Ekaterina SHEVCHENKO
NEUFMOULIN;HEUCOURT CROQUOISON;Vladimir MARIN
GRANDPUITS BAILLY CARROIS;SOISY BOUY;Mikhail RUSSO
DAGNY;BUSSIERES;Aleksandra PAVLOVA
MIONS;RILLIEUX LA PAPE;Yuliya PAVLOVA
MALLELOY;MARIEULLES;Mariya LOPEZ
BOUSSAC;ST MARCEL CAMPES;Elena KOVALENKO
MAENNOLSHEIM;ALTENHEIM;Aleksey RUSSO
PONTCHARDON;ORBEC;Marta ALVAREZ
CARVILLE LA FOLLETIERE;ARELAUNE EN SEINE;Maria KOCH
CERONS;LAMOTHE LANDERRON;Tatyana BAUER
HONFLEUR;ROGERVILLE;Marta VOLKOVA
BAGUER MORVAN;EVRAN;Marta MARIN
ESTAMPURES;SARRAGUZAN;Pavel NIELSEN
ARSAC;SOUSSANS;Hans TORRES
MOYENMOUTIER;GELACOURT;Christian HOFFMANN
OZON;MAZAN L ABBAYE;Paul SANTOS
BAYONVILLERS;CAIX;Anastasiya FERNANDEZ
ST LEON;LE TEMPLE SUR LOT;Igor SMITH
PREMERY;ST AUBIN LES FORGES;Anne MEIER
